id,tag_id,snippet_id,created_at,updated_at
20,8,7,2014-10-28 11:00:10,2014-10-28 11:00:10
30,1,10,2014-10-29 14:14:01,2014-10-29 14:14:01
31,11,11,2014-10-29 15:27:10,2014-10-29 15:27:10
33,1,1,2014-10-29 15:37:24,2014-10-29 15:37:24
46,13,14,2014-11-01 14:26:36,2014-11-01 14:26:36
48,11,16,2014-11-01 15:40:05,2014-11-01 15:40:05
51,14,17,2014-11-02 04:51:23,2014-11-02 04:51:23
52,15,17,2014-11-02 04:51:23,2014-11-02 04:51:23
59,9,18,2014-11-04 11:09:33,2014-11-04 11:09:33
60,16,18,2014-11-04 11:09:33,2014-11-04 11:09:33
61,10,19,2014-11-05 18:19:10,2014-11-05 18:19:10
64,9,12,2014-11-06 16:06:20,2014-11-06 16:06:20
65,12,12,2014-11-06 16:06:20,2014-11-06 16:06:20
67,11,20,2014-11-06 20:23:38,2014-11-06 20:23:38
70,13,22,2014-11-07 16:31:50,2014-11-07 16:31:50
71,18,22,2014-11-07 16:31:50,2014-11-07 16:31:50
72,19,23,2014-11-07 19:55:56,2014-11-07 19:55:56
74,20,24,2014-11-08 14:02:42,2014-11-08 14:02:42
75,21,25,2014-11-08 16:35:59,2014-11-08 16:35:59
77,9,8,2014-11-10 09:19:14,2014-11-10 09:19:14
78,17,21,2014-11-12 17:27:35,2014-11-12 17:27:35
80,22,27,2014-11-13 18:03:55,2014-11-13 18:03:55
81,23,28,2014-11-19 19:54:22,2014-11-19 19:54:22
82,24,28,2014-11-19 19:54:22,2014-11-19 19:54:22
83,8,29,2014-11-21 20:54:40,2014-11-21 20:54:40
84,24,30,2014-11-22 01:51:00,2014-11-22 01:51:00
85,13,31,2014-11-26 11:26:13,2014-11-26 11:26:13
86,13,32,2014-11-26 11:49:23,2014-11-26 11:49:23
87,13,33,2014-11-26 12:03:27,2014-11-26 12:03:27
88,19,34,2014-11-29 19:51:58,2014-11-29 19:51:58
97,13,37,2014-11-30 16:14:37,2014-11-30 16:14:37
98,19,37,2014-11-30 16:14:37,2014-11-30 16:14:37
99,18,37,2014-11-30 16:14:37,2014-11-30 16:14:37
110,13,40,2014-12-01 22:23:37,2014-12-01 22:23:37
111,29,40,2014-12-01 22:23:37,2014-12-01 22:23:37
114,8,41,2014-12-02 18:25:07,2014-12-02 18:25:07
115,8,42,2014-12-02 18:50:13,2014-12-02 18:50:13
116,31,42,2014-12-02 18:50:13,2014-12-02 18:50:13
121,8,44,2014-12-02 23:55:44,2014-12-02 23:55:44
122,8,43,2014-12-03 00:11:56,2014-12-03 00:11:56
123,9,43,2014-12-03 00:11:56,2014-12-03 00:11:56
124,13,45,2014-12-04 01:14:26,2014-12-04 01:14:26
125,18,45,2014-12-04 01:14:26,2014-12-04 01:14:26
129,8,46,2014-12-04 12:21:32,2014-12-04 12:21:32
130,27,46,2014-12-04 12:21:32,2014-12-04 12:21:32
131,33,47,2014-12-04 21:21:32,2014-12-04 21:21:32
138,8,48,2014-12-05 04:11:51,2014-12-05 04:11:51
139,34,48,2014-12-05 04:11:51,2014-12-05 04:11:51
140,11,49,2014-12-05 13:52:48,2014-12-05 13:52:48
141,11,50,2014-12-06 12:22:21,2014-12-06 12:22:21
142,13,51,2014-12-07 20:07:26,2014-12-07 20:07:26
143,18,51,2014-12-07 20:07:26,2014-12-07 20:07:26
160,8,52,2014-12-10 13:24:39,2014-12-10 13:24:39
161,35,52,2014-12-10 13:24:39,2014-12-10 13:24:39
162,36,52,2014-12-10 13:24:39,2014-12-10 13:24:39
163,37,52,2014-12-10 13:24:39,2014-12-10 13:24:39
165,38,53,2014-12-10 18:04:49,2014-12-10 18:04:49
166,39,54,2014-12-10 18:09:06,2014-12-10 18:09:06
167,38,55,2014-12-10 18:16:19,2014-12-10 18:16:19
168,14,56,2014-12-10 23:28:52,2014-12-10 23:28:52
169,9,56,2014-12-10 23:28:52,2014-12-10 23:28:52
174,9,58,2014-12-11 19:44:04,2014-12-11 19:44:04
175,14,58,2014-12-11 19:44:04,2014-12-11 19:44:04
176,19,59,2014-12-12 20:28:26,2014-12-12 20:28:26
177,38,60,2014-12-13 11:29:33,2014-12-13 11:29:33
178,39,60,2014-12-13 11:29:33,2014-12-13 11:29:33
181,40,61,2014-12-13 17:00:24,2014-12-13 17:00:24
182,41,61,2014-12-13 17:00:24,2014-12-13 17:00:24
183,41,62,2014-12-13 17:02:07,2014-12-13 17:02:07
184,42,62,2014-12-13 17:02:07,2014-12-13 17:02:07
185,39,63,2014-12-13 21:24:10,2014-12-13 21:24:10
186,7,64,2014-12-14 17:14:56,2014-12-14 17:14:56
187,43,64,2014-12-14 17:14:56,2014-12-14 17:14:56
188,44,65,2014-12-14 18:16:29,2014-12-14 18:16:29
189,45,65,2014-12-14 18:16:29,2014-12-14 18:16:29
194,9,66,2014-12-15 12:49:55,2014-12-15 12:49:55
195,43,66,2014-12-15 12:49:55,2014-12-15 12:49:55
200,48,68,2014-12-19 12:51:05,2014-12-19 12:51:05
201,8,69,2014-12-19 19:13:27,2014-12-19 19:13:27
202,9,69,2014-12-19 19:13:27,2014-12-19 19:13:27
203,13,70,2014-12-21 02:31:23,2014-12-21 02:31:23
204,22,71,2014-12-21 18:42:25,2014-12-21 18:42:25
205,49,71,2014-12-21 18:42:25,2014-12-21 18:42:25
208,22,72,2014-12-21 20:35:26,2014-12-21 20:35:26
209,49,72,2014-12-21 20:35:26,2014-12-21 20:35:26
215,1,74,2014-12-22 20:22:36,2014-12-22 20:22:36
216,50,74,2014-12-22 20:22:36,2014-12-22 20:22:36
219,1,75,2014-12-22 21:22:34,2014-12-22 21:22:34
220,42,75,2014-12-22 21:22:34,2014-12-22 21:22:34
223,52,77,2014-12-24 18:20:19,2014-12-24 18:20:19
224,53,77,2014-12-24 18:20:19,2014-12-24 18:20:19
225,29,77,2014-12-24 18:20:19,2014-12-24 18:20:19
226,39,78,2014-12-26 18:00:35,2014-12-26 18:00:35
227,54,78,2014-12-26 18:00:35,2014-12-26 18:00:35
228,9,79,2014-12-26 21:39:34,2014-12-26 21:39:34
229,55,79,2014-12-26 21:39:34,2014-12-26 21:39:34
231,17,80,2014-12-30 17:25:04,2014-12-30 17:25:04
233,17,81,2014-12-30 18:11:16,2014-12-30 18:11:16
236,13,82,2014-12-31 13:11:21,2014-12-31 13:11:21
237,18,82,2014-12-31 13:11:21,2014-12-31 13:11:21
238,56,83,2015-01-03 14:11:25,2015-01-03 14:11:25
239,13,83,2015-01-03 14:11:25,2015-01-03 14:11:25
249,60,86,2015-01-04 02:29:55,2015-01-04 02:29:55
253,57,85,2015-01-04 13:33:55,2015-01-04 13:33:55
254,58,85,2015-01-04 13:33:55,2015-01-04 13:33:55
255,59,85,2015-01-04 13:33:55,2015-01-04 13:33:55
256,17,87,2015-01-04 20:30:02,2015-01-04 20:30:02
257,17,88,2015-01-04 20:54:20,2015-01-04 20:54:20
258,61,88,2015-01-04 20:54:20,2015-01-04 20:54:20
259,62,88,2015-01-04 20:54:20,2015-01-04 20:54:20
260,63,88,2015-01-04 20:54:20,2015-01-04 20:54:20
261,64,88,2015-01-04 20:54:20,2015-01-04 20:54:20
262,13,89,2015-01-07 02:11:57,2015-01-07 02:11:57
263,65,89,2015-01-07 02:11:57,2015-01-07 02:11:57
264,66,89,2015-01-07 02:11:57,2015-01-07 02:11:57
265,67,89,2015-01-07 02:11:57,2015-01-07 02:11:57
266,68,90,2015-01-07 03:14:57,2015-01-07 03:14:57
267,69,90,2015-01-07 03:14:57,2015-01-07 03:14:57
268,13,90,2015-01-07 03:14:57,2015-01-07 03:14:57
269,39,84,2015-01-07 11:06:56,2015-01-07 11:06:56
270,70,91,2015-01-08 19:00:45,2015-01-08 19:00:45
279,49,76,2015-01-12 06:13:45,2015-01-12 06:13:45
280,51,76,2015-01-12 06:13:45,2015-01-12 06:13:45
287,22,92,2015-01-13 20:30:14,2015-01-13 20:30:14
288,71,92,2015-01-13 20:30:14,2015-01-13 20:30:14
289,72,92,2015-01-13 20:30:14,2015-01-13 20:30:14
290,7,93,2015-01-16 23:27:35,2015-01-16 23:27:35
291,13,94,2015-01-16 23:28:43,2015-01-16 23:28:43
292,13,95,2015-01-16 23:31:14,2015-01-16 23:31:14
293,29,95,2015-01-16 23:31:14,2015-01-16 23:31:14
295,73,96,2015-01-17 15:09:35,2015-01-17 15:09:35
296,52,96,2015-01-17 15:09:35,2015-01-17 15:09:35
297,9,97,2015-01-17 16:07:04,2015-01-17 16:07:04
298,74,97,2015-01-17 16:07:04,2015-01-17 16:07:04
299,75,98,2015-01-17 17:43:04,2015-01-17 17:43:04
300,75,99,2015-01-17 17:47:46,2015-01-17 17:47:46
301,39,100,2015-01-17 18:46:58,2015-01-17 18:46:58
302,38,100,2015-01-17 18:46:58,2015-01-17 18:46:58
319,73,101,2015-01-18 13:40:59,2015-01-18 13:40:59
320,76,101,2015-01-18 13:40:59,2015-01-18 13:40:59
327,77,103,2015-01-20 11:47:33,2015-01-20 11:47:33
330,77,104,2015-01-20 12:17:15,2015-01-20 12:17:15
331,78,104,2015-01-20 12:17:15,2015-01-20 12:17:15
332,44,105,2015-01-20 20:24:51,2015-01-20 20:24:51
333,79,105,2015-01-20 20:24:51,2015-01-20 20:24:51
334,77,102,2015-01-21 10:35:11,2015-01-21 10:35:11
335,80,106,2015-01-21 16:40:06,2015-01-21 16:40:06
336,81,106,2015-01-21 16:40:06,2015-01-21 16:40:06
337,82,107,2015-01-22 22:21:23,2015-01-22 22:21:23
338,39,107,2015-01-22 22:21:23,2015-01-22 22:21:23
339,83,107,2015-01-22 22:21:23,2015-01-22 22:21:23
340,84,107,2015-01-22 22:21:23,2015-01-22 22:21:23
341,85,107,2015-01-22 22:21:23,2015-01-22 22:21:23
342,86,107,2015-01-22 22:21:23,2015-01-22 22:21:23
347,75,108,2015-01-23 00:07:54,2015-01-23 00:07:54
348,80,109,2015-01-23 14:22:36,2015-01-23 14:22:36
354,11,110,2015-01-23 19:37:18,2015-01-23 19:37:18
356,73,111,2015-01-24 04:14:59,2015-01-24 04:14:59
357,87,111,2015-01-24 04:14:59,2015-01-24 04:14:59
358,73,112,2015-01-24 04:15:41,2015-01-24 04:15:41
359,87,112,2015-01-24 04:15:41,2015-01-24 04:15:41
361,73,113,2015-01-24 05:20:47,2015-01-24 05:20:47
362,88,113,2015-01-24 05:20:47,2015-01-24 05:20:47
367,73,114,2015-01-24 05:55:46,2015-01-24 05:55:46
368,89,114,2015-01-24 05:55:46,2015-01-24 05:55:46
373,17,115,2015-01-26 02:35:36,2015-01-26 02:35:36
374,17,116,2015-01-26 02:51:34,2015-01-26 02:51:34
375,90,116,2015-01-26 02:51:34,2015-01-26 02:51:34
376,22,117,2015-01-26 09:37:15,2015-01-26 09:37:15
377,91,117,2015-01-26 09:37:15,2015-01-26 09:37:15
378,57,117,2015-01-26 09:37:15,2015-01-26 09:37:15
383,44,118,2015-01-26 14:08:51,2015-01-26 14:08:51
384,92,118,2015-01-26 14:08:51,2015-01-26 14:08:51
385,17,119,2015-01-26 17:02:07,2015-01-26 17:02:07
386,93,119,2015-01-26 17:02:07,2015-01-26 17:02:07
387,94,119,2015-01-26 17:02:07,2015-01-26 17:02:07
388,95,119,2015-01-26 17:02:07,2015-01-26 17:02:07
389,17,120,2015-01-26 17:38:34,2015-01-26 17:38:34
390,96,120,2015-01-26 17:38:34,2015-01-26 17:38:34
391,97,120,2015-01-26 17:38:34,2015-01-26 17:38:34
392,98,120,2015-01-26 17:38:34,2015-01-26 17:38:34
393,99,120,2015-01-26 17:38:34,2015-01-26 17:38:34
400,44,121,2015-01-27 11:34:36,2015-01-27 11:34:36
401,100,121,2015-01-27 11:34:36,2015-01-27 11:34:36
402,44,122,2015-01-27 11:58:08,2015-01-27 11:58:08
403,101,122,2015-01-27 11:58:08,2015-01-27 11:58:08
404,18,123,2015-01-28 10:57:41,2015-01-28 10:57:41
405,102,123,2015-01-28 10:57:41,2015-01-28 10:57:41
406,75,124,2015-01-29 22:17:27,2015-01-29 22:17:27
407,52,124,2015-01-29 22:17:27,2015-01-29 22:17:27
408,103,124,2015-01-29 22:17:27,2015-01-29 22:17:27
409,104,125,2015-01-30 03:00:08,2015-01-30 03:00:08
410,105,125,2015-01-30 03:00:08,2015-01-30 03:00:08
411,52,125,2015-01-30 03:00:08,2015-01-30 03:00:08
412,103,125,2015-01-30 03:00:08,2015-01-30 03:00:08
417,44,126,2015-01-30 15:48:46,2015-01-30 15:48:46
418,106,126,2015-01-30 15:48:46,2015-01-30 15:48:46
419,77,127,2015-01-31 00:14:43,2015-01-31 00:14:43
424,9,128,2015-01-31 00:30:10,2015-01-31 00:30:10
425,107,128,2015-01-31 00:30:10,2015-01-31 00:30:10
432,9,129,2015-01-31 01:10:33,2015-01-31 01:10:33
433,61,129,2015-01-31 01:10:33,2015-01-31 01:10:33
434,108,129,2015-01-31 01:10:33,2015-01-31 01:10:33
435,8,130,2015-01-31 01:12:39,2015-01-31 01:12:39
436,109,130,2015-01-31 01:12:39,2015-01-31 01:12:39
441,80,131,2015-01-31 12:18:35,2015-01-31 12:18:35
442,77,131,2015-01-31 12:18:35,2015-01-31 12:18:35
444,110,132,2015-01-31 13:21:46,2015-01-31 13:21:46
449,77,133,2015-01-31 13:56:57,2015-01-31 13:56:57
450,111,133,2015-01-31 13:56:57,2015-01-31 13:56:57
456,112,134,2015-02-08 04:08:57,2015-02-08 04:08:57
457,88,134,2015-02-08 04:08:57,2015-02-08 04:08:57
458,49,135,2015-02-17 12:19:31,2015-02-17 12:19:31
459,81,135,2015-02-17 12:19:31,2015-02-17 12:19:31
460,49,136,2015-02-17 14:26:08,2015-02-17 14:26:08
461,113,136,2015-02-17 14:26:08,2015-02-17 14:26:08
462,39,137,2015-03-03 11:03:29,2015-03-03 11:03:29
466,114,138,2015-03-08 00:11:52,2015-03-08 00:11:52
467,113,139,2015-03-08 00:52:06,2015-03-08 00:52:06
469,113,141,2015-03-08 01:12:27,2015-03-08 01:12:27
470,115,142,2015-03-08 01:24:50,2015-03-08 01:24:50
471,17,140,2015-03-08 02:05:16,2015-03-08 02:05:16
472,22,143,2015-03-08 02:34:45,2015-03-08 02:34:45
473,116,143,2015-03-08 02:34:45,2015-03-08 02:34:45
474,116,144,2015-03-08 02:38:04,2015-03-08 02:38:04
475,22,144,2015-03-08 02:38:04,2015-03-08 02:38:04
476,117,145,2015-03-09 09:04:39,2015-03-09 09:04:39
477,118,145,2015-03-09 09:04:39,2015-03-09 09:04:39
479,119,146,2015-03-09 14:26:23,2015-03-09 14:26:23
480,120,146,2015-03-09 14:26:23,2015-03-09 14:26:23
481,113,147,2015-03-11 11:26:09,2015-03-11 11:26:09
482,116,147,2015-03-11 11:26:09,2015-03-11 11:26:09
484,60,148,2015-03-11 16:19:37,2015-03-11 16:19:37
485,9,149,2015-03-12 13:58:57,2015-03-12 13:58:57
486,121,149,2015-03-12 13:58:57,2015-03-12 13:58:57
501,122,151,2015-03-22 17:11:17,2015-03-22 17:11:17
502,17,152,2015-03-27 23:36:05,2015-03-27 23:36:05
